date,prizeLoop,prizeId
17-Nov-22,17,1
18-Nov-22,17,1
19-Nov-22,18,1
20-Nov-22,18,1
21-Nov-22,18,1
22-Nov-22,18,1
23-Nov-22,18,1
24-Nov-22,18,1
25-Nov-22,18,1
26-Nov-22,18,1
27-Nov-22,18,1
28-Nov-22,18,1
29-Nov-22,18,1
30-Nov-22,18,1
17-Nov-22,8,2
18-Nov-22,9,2
19-Nov-22,9,2
20-Nov-22,9,2
21-Nov-22,9,2
22-Nov-22,9,2
23-Nov-22,9,2
24-Nov-22,9,2
25-Nov-22,9,2
26-Nov-22,9,2
27-Nov-22,9,2
28-Nov-22,9,2
29-Nov-22,9,2
30-Nov-22,9,2
17-Nov-22,3,3
18-Nov-22,3,3
19-Nov-22,3,3
20-Nov-22,3,3
21-Nov-22,3,3
22-Nov-22,3,3
23-Nov-22,4,3
24-Nov-22,4,3
25-Nov-22,4,3
26-Nov-22,4,3
27-Nov-22,4,3
28-Nov-22,4,3
29-Nov-22,4,3
30-Nov-22,4,3
17-Nov-22,1,4
18-Nov-22,1,4
19-Nov-22,1,4
20-Nov-22,2,4
21-Nov-22,2,4
22-Nov-22,2,4
23-Nov-22,2,4
24-Nov-22,2,4
25-Nov-22,2,4
26-Nov-22,2,4
27-Nov-22,2,4
28-Nov-22,2,4
29-Nov-22,2,4
30-Nov-22,2,4
22-Nov-22,1,5
24-Nov-22,1,5
26-Nov-22,1,5
28-Nov-22,1,5
30-Nov-22,1,5
,,
,,
,,
,,
,,
,,
,,
,,
,,
